Language_name	Family_name	subfamily_name	genus_name	status	color	latitude	longitude
Tulu	Dravidian			vulnerable	#B7FF00	12.8114	75.2651
Tulu-Bohuai	Austronesian			unknown/safe	#FF5E00	-2.14155	146.934
Tumari Kanuri	Saharan			unknown/safe	#5E00FF	14.2584	13.1571
Tuma-Irumu	Nuclear Trans New Guinea			unknown/safe	#0013FF	-6.29221	146.609
Tumak	Afro-Asiatic			unknown/safe	#FF0600	9.43747	17.4216
Tumbuka	Atlantic-Congo			unknown/safe	#FF5200	-11.3297	33.3738
Tumi	Unattested			unknown/safe	#FF00A4	10.5113	8.10378
Tumleo	Austronesian			unknown/safe	#FF5E00	-3.14955	142.346
Tumtum	Kadugli-Krongo			severely endangered	#00FF45	10.6378	30.4128
Tumulung Sisaala	Atlantic-Congo			critically endangered	#FF5200	10.63451	-1.79707
Tumzabt	Afro-Asiatic		Berber	vulnerable	#FF0600	32.5014	3.85035
Tundra Enets	Uralic			critically endangered	#FF0097	70.1626	83.7405
Tungag	Austronesian			unknown/safe	#FF5E00	-2.52188	150.198
Tunggare	Geelvink Bay			unknown/safe	#71FF00	-3.37462	135.551
Tunia	Atlantic-Congo			unknown/safe	#FF5200	9.42506	18.2059
Tunisian Arabic	Afro-Asiatic		Semitic	unknown/safe	#FF0600	33.7966	9.56156
Tunisian-Zuwara Berber	Afro-Asiatic			unknown/safe	#FF0600	32.863859	11.299621
Tunjung	Austronesian			unknown/safe	#FF5E00	-0.29048	115.883
Tunni	Afro-Asiatic			unknown/safe	#FF0600	1.06167	43.6847
Tunzu	Atlantic-Congo			definitely endangered	#FF5200	9.115793	10.029445
Tuotomb	Atlantic-Congo			severely endangered	#FF5200	4.65626	10.6592
Tuparí	Tupian			definitely endangered	#FF00BD	-11.8884	-62.2544
Tupinambá	Tupian			extinct	#FF00BD	-22.807778	-42.106389
Tupí	Tupian			extinct	#FF00BD	-23.95	-46.38
Tupuri	Atlantic-Congo			unknown/safe	#FF5200	10.0144	14.8697
Turaka	Dagan			critically endangered	#D6FF00	-9.83576	149.567
Turi	Austroasiatic			definitely endangered	#FF5800	22.0122	84.4712
Turiwára	Tupian			extinct	#FF00BD	-2	-49.5
Turkic Khalaj	Turkic		Turkic	vulnerable	#FF00B0	34.4224	50.3222
Turkmen	Turkic			unknown/safe	#FF00B0	37.0872	59.1757
Turka	Atlantic-Congo			unknown/safe	#FF5200	10.7114	-4.92082
Turkana	Nilotic			unknown/safe	#0045FF	4.30688	35.7101
Turks And Caicos Creole English	Indo-European			unknown/safe	#00FF13	21.8078	-71.7451
Turoyo	Afro-Asiatic			severely endangered	#FF0600	37.2275	42.1451
Turung	Tai-Kadai			extinct	#E300FF	26.3441	92.2676
Turumsa	Doso-Turumsa			unknown/safe	#BDFF00	-7.93238	142.568
Tuscarora	Iroquoian			critically endangered	#00FF19	43.1303	-79.4214
Tutelo	Siouan			extinct	#9100FF	37.67	-78.75
Tutong	Austronesian			unknown/safe	#FF5E00	4.74327	114.638
Tutsa Naga	Sino-Tibetan			unknown/safe	#8B00FF	27.161	95.8
Tutuba	Austronesian			definitely endangered	#FF5E00	-15.4913	167.218
Tututni	Athapaskan-Eyak-Tlingit			extinct	#FF4C00	42.5563	-124.293
Tututepec Mixtec	Otomanguean			unknown/safe	#0600FF	16.154	-97.5597
Tu	Mongolic		Mongolic	severely endangered	#007EFF	36.8177	102.117
